"name","genre","store_1","total_reviews","overall_rating","monthly_netincome","longevity_m","lifetime_income","purchase_price","net_profit"
"Domino's Pizza USA","food_drink","both",1291559,4.8,9000,115,"$1,035,000.00","$25,000.00","$1,010,000.00"
"PewDiePie's Tuber Simulator","games_entertainment","both",1590317,4.8,9000,115,"$1,035,000.00","$25,000.00","$1,010,000.00"
"Fernanfloo","games_entertainment","both",529481,4.8,9000,115,"$1,035,000.00","$25,000.00","$1,010,000.00"
"Toy Blast","games_entertainment","both",1965238,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"Zombie Catchers","games_entertainment","both",1007208,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"Cytus","games_entertainment","both",549657,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"Egg, Inc.","games_entertainment","both",659234,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"Deck Heroes: Legacy","games_entertainment","both",466989,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"Score! Hero","games_entertainment","both",5504737,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Clash of Clans","games_entertainment","both",47020500,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Township","games_entertainment","both",4532118,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Bible","book_news_reference","both",3426615,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Fishdom","games_entertainment","both",2197364,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"FINAL FANTASY BRAVE EXVIUS","games_entertainment","both",773871,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Shadow Fight 2","games_entertainment","both",11079662,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Angry Birds 2","games_entertainment","both",3991775,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Hill Climb Racing 2","games_entertainment","both",2784382,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Earn to Die 2","games_entertainment","both",1330339,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Where's My Water?","games_entertainment","both",320396,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Clash Royale","games_entertainment","both",23399496,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Hitman Sniper","games_entertainment","both",416744,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Pinterest","social_communication","both",5365563,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"War Robots","games_entertainment","both",3170373,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Animal Jam - Play Wild!","games_entertainment","both",388842,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"MARVEL Future Fight","games_entertainment","both",2374948,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Fallout Shelter","games_entertainment","both",2919929,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Geometry Dash World","games_entertainment","both",765347,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Choices: Stories You Play","games_entertainment","both",840945,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Chase Mobile","business_finance","both",1408871,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Geometry Dash Meltdown","games_entertainment","both",1708599,4.6,9000,110,"$990,000.00","$25,000.00","$965,000.00"
"Geometry Dash Lite","games_entertainment","both",6552010,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Angry Birds Epic RPG","games_entertainment","both",2719285,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Traffic Racer","games_entertainment","both",5410168,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Subway Surfers","games_entertainment","both",28428103,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Bullet Force","games_entertainment","both",643448,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"WWE","games_entertainment","both",744397,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"ROBLOX","games_entertainment","both",4632330,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"GroupMe","social_communication","both",359021,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Starbucks","food_drink","both",759293,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Instagram","photo_video","both",68722055,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Star Wars™: Galaxy of Heroes","games_entertainment","both",1583958,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"My Horse","games_entertainment","both",1627195,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Trivia Crack","games_entertainment","both",6821242,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Boom Beach","games_entertainment","both",5833582,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Fruit Ninja Classic","games_entertainment","both",783984,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Dude Perfect 2","games_entertainment","both",429898,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Sonic Dash","games_entertainment","both",4196405,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Microsoft Word","productivity","both",2130331,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"My Talking Angela","games_entertainment","both",9935417,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Dragon Hills","games_entertainment","both",359881,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"YouTube Kids","games_entertainment","both",498897,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Asphalt 8: Airborne","games_entertainment","both",8578282,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Hay Day","games_entertainment","both",10620530,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Real Basketball","games_entertainment","both",1803317,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"SimCity BuildIt","games_entertainment","both",4416925,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Wish - Shopping Made Fun","lifestyle_shopping","both",6351139,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
"Disney Crossy Road","games_entertainment","both",552659,4.5,9000,108,"$972,000.00","$25,000.00","$947,000.00"
