"name","genre","store_1","total_reviews","overall_rating","monthly_netincome","longevity_m","lifetime_income","purchase_price","net_profit"
"PewDiePie's Tuber Simulator","games_entertainment","both",1590317,4.8,9000,115,"$1,035,000.00","$25,000.00","$1,010,000.00"
"H*nest Meditation","games_entertainment","both",200,4.8,9000,115,"$1,035,000.00","$25,000.00","$1,010,000.00"
"Domino's Pizza USA","food_drink","both",1291559,4.8,9000,115,"$1,035,000.00","$25,000.00","$1,010,000.00"
"Fernanfloo","games_entertainment","both",529481,4.8,9000,115,"$1,035,000.00","$25,000.00","$1,010,000.00"
"Narcos: Cartel Wars","games_entertainment","both",249287,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"Egg, Inc.","games_entertainment","both",659234,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"Cytus","games_entertainment","both",549657,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"ASOS","lifestyle_shopping","both",191536,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"Deck Heroes: Legacy","games_entertainment","both",466989,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
"The Guardian","book_news_reference","both",256168,4.7,9000,113,"$1,017,000.00","$25,000.00","$992,000.00"
